ranking_year,semester,ranking_date,rank,team,team_norm,acronym,total_points,previous_points,diff_points
1992,2,1992-12-31,1,Germany,germany,GER,57.0,0.0,57.0
1992,2,1992-12-31,1,Italy,italy,ITA,57.0,0.0,57.0
1992,2,1992-12-31,3,Brazil,brazil,BRA,56.0,0.0,56.0
1992,2,1992-12-31,3,Sweden,sweden,SWE,56.0,0.0,56.0
1992,2,1992-12-31,5,England,england,ENG,55.0,0.0,55.0
1992,2,1992-12-31,6,Republic of Ireland,ireland,IRL,54.0,0.0,54.0
1992,2,1992-12-31,6,Netherlands,netherlands,NED,54.0,0.0,54.0
1992,2,1992-12-31,8,Russia,russia,RUS,52.0,0.0,52.0
1992,2,1992-12-31,8,Denmark,denmark,DEN,52.0,0.0,52.0
1992,2,1992-12-31,10,Argentina,argentina,ARG,51.0,0.0,51.0
1992,2,1992-12-31,10,Romania,romania,ROU,51.0,0.0,51.0
1992,2,1992-12-31,10,Switzerland,switzerland,SUI,51.0,0.0,51.0
1992,2,1992-12-31,13,Nigeria,nigeria,NGA,50.0,0.0,50.0
1992,2,1992-12-31,14,Norway,norway,NOR,49.0,0.0,49.0
1992,2,1992-12-31,14,Spain,spain,ESP,49.0,0.0,49.0
1992,2,1992-12-31,16,Uruguay,uruguay,URU,48.0,0.0,48.0
1992,2,1992-12-31,16,Belgium,belgium,BEL,48.0,0.0,48.0
1992,2,1992-12-31,18,Czechoslovakia,czechoslovakia,TCH,47.0,0.0,47.0
1992,2,1992-12-31,19,France,france,FRA,46.0,0.0,46.0
1992,2,1992-12-31,19,Poland,poland,POL,46.0,0.0,46.0
1992,2,1992-12-31,21,Egypt,egypt,EGY,45.0,0.0,45.0
1992,2,1992-12-31,22,Cameroon,cameroon,CMR,43.0,0.0,43.0
1992,2,1992-12-31,22,Scotland,scotland,SCO,43.0,0.0,43.0
1992,2,1992-12-31,22,USA,united states,USA,43.0,0.0,43.0
1992,2,1992-12-31,22,Mexico,mexico,MEX,43.0,0.0,43.0
1992,2,1992-12-31,26,Bulgaria,bulgaria,BUL,41.0,0.0,41.0
1992,2,1992-12-31,26,Côte d'Ivoire,côte divoire,CIV,41.0,0.0,41.0
1992,2,1992-12-31,28,Wales,wales,WAL,40.0,0.0,40.0
1992,2,1992-12-31,29,Yugoslavia,yugoslavia,YUG,39.0,0.0,39.0
1992,2,1992-12-31,29,Algeria,algeria,ALG,39.0,0.0,39.0
1992,2,1992-12-31,31,Greece,greece,GRE,38.0,0.0,38.0
1992,2,1992-12-31,31,Zambia,zambia,ZAM,38.0,0.0,38.0
1992,2,1992-12-31,31,Portugal,portugal,POR,38.0,0.0,38.0
1992,2,1992-12-31,31,Austria,austria,AUT,38.0,0.0,38.0
1992,2,1992-12-31,35,Colombia,colombia,COL,36.0,0.0,36.0
1992,2,1992-12-31,35,Hungary,hungary,HUN,36.0,0.0,36.0
1992,2,1992-12-31,37,Costa Rica,costa rica,CRC,35.0,0.0,35.0
1992,2,1992-12-31,37,Tunisia,tunisia,TUN,35.0,0.0,35.0
1992,2,1992-12-31,39,Ghana,ghana,GHA,34.0,0.0,34.0
1992,2,1992-12-31,40,Honduras,honduras,HON,32.0,0.0,32.0
1992,2,1992-12-31,40,Morocco,morocco,MAR,32.0,0.0,32.0
1992,2,1992-12-31,42,Turkey,turkey,TUR,31.0,0.0,31.0
1992,2,1992-12-31,42,Northern Ireland,northern ireland,NIR,31.0,0.0,31.0
1992,2,1992-12-31,42,Finland,finland,FIN,31.0,0.0,31.0
1992,2,1992-12-31,45,Australia,australia,AUS,29.0,0.0,29.0
1992,2,1992-12-31,45,Iceland,iceland,ISL,29.0,0.0,29.0
1992,2,1992-12-31,47,Chile,chile,CHI,28.0,0.0,28.0
1992,2,1992-12-31,47,Saudi Arabia,saudi arabia,KSA,28.0,0.0,28.0
1992,2,1992-12-31,47,Korea Republic,south korea,KOR,28.0,0.0,28.0
1992,2,1992-12-31,47,El Salvador,el salvador,SLV,28.0,0.0,28.0
1992,2,1992-12-31,51,Senegal,senegal,SEN,27.0,0.0,27.0
1992,2,1992-12-31,51,Qatar,qatar,QAT,27.0,0.0,27.0
1992,2,1992-12-31,51,Malawi,malawi,MWI,27.0,0.0,27.0
1992,2,1992-12-31,51,Zimbabwe,zimbabwe,ZIM,27.0,0.0,27.0
1992,2,1992-12-31,51,Gabon,gabon,GAB,27.0,0.0,27.0
1992,2,1992-12-31,56,China PR,china,CHN,26.0,0.0,26.0
1992,2,1992-12-31,57,Canada,canada,CAN,25.0,0.0,25.0
1992,2,1992-12-31,57,Bermuda,bermuda,BER,25.0,0.0,25.0
1992,2,1992-12-31,57,United Arab Emirates,united arab emirates,UAE,25.0,0.0,25.0
1992,2,1992-12-31,57,Zaire,zaire,ZAI,25.0,0.0,25.0
1992,2,1992-12-31,61,IR Iran,iran,IRN,24.0,0.0,24.0
1992,2,1992-12-31,61,Trinidad and Tobago,trinidad and tobago,TRI,24.0,0.0,24.0
1992,2,1992-12-31,61,Guinea,guinea,GUI,24.0,0.0,24.0
1992,2,1992-12-31,64,Israel,israel,ISR,23.0,0.0,23.0
1992,2,1992-12-31,64,Ecuador,ecuador,ECU,23.0,0.0,23.0
1992,2,1992-12-31,66,Japan,japan,JPN,22.0,0.0,22.0
1992,2,1992-12-31,66,Jamaica,jamaica,JAM,22.0,0.0,22.0
1992,2,1992-12-31,66,Paraguay,paraguay,PAR,22.0,0.0,22.0
1992,2,1992-12-31,66,Mali,mali,MLI,22.0,0.0,22.0
1992,2,1992-12-31,66,New Zealand,new zealand,NZL,22.0,0.0,22.0
1992,2,1992-12-31,71,Kuwait,kuwait,KUW,21.0,0.0,21.0
1992,2,1992-12-31,72,Cyprus,cyprus,CYP,20.0,0.0,20.0
1992,2,1992-12-31,73,Malta,malta,MLT,19.0,0.0,19.0
1992,2,1992-12-31,74,Madagascar,madagascar,MAD,18.0,0.0,18.0
1992,2,1992-12-31,74,Thailand,thailand,THA,18.0,0.0,18.0
1992,2,1992-12-31,76,Kenya,kenya,KEN,17.0,0.0,17.0
1992,2,1992-12-31,77,Korea DPR,korea dpr,PRK,16.0,0.0,16.0
1992,2,1992-12-31,77,Peru,peru,PER,16.0,0.0,16.0
1992,2,1992-12-31,77,Sierra Leone,sierra leone,SLE,16.0,0.0,16.0
1992,2,1992-12-31,80,Tanzania,tanzania,TAN,15.0,0.0,15.0
1992,2,1992-12-31,80,Niger,niger,NIG,15.0,0.0,15.0
1992,2,1992-12-31,80,Iraq,iraq,IRQ,15.0,0.0,15.0
1992,2,1992-12-31,80,Guatemala,guatemala,GUA,15.0,0.0,15.0
1992,2,1992-12-31,80,Liberia,liberia,LBR,15.0,0.0,15.0
1992,2,1992-12-31,85,Ethiopia,ethiopia,ETH,14.0,0.0,14.0
1992,2,1992-12-31,85,Albania,albania,ALB,14.0,0.0,14.0
1992,2,1992-12-31,85,Bolivia,bolivia,BOL,14.0,0.0,14.0
