team_id,team_name,team_norm,tournament_id,tournament_year,fifa_rank_pre_tournament,fifa_points_pre_tournament,fifa_previous_points_pre_tournament,fifa_diff_points_pre_tournament,fifa_ranking_date,team_tournament_id
team_e165d4f2174b,France,france,wc_1930,1930,,,,,,team_tournament_4df84b90cc0e
team_4edfc924721a,Mexico,mexico,wc_1930,1930,,,,,,team_tournament_2f26c3f8aafb
team_152649df347e,United States,united states,wc_1930,1930,,,,,,team_tournament_d948c6005286
team_73fa01094ea6,Belgium,belgium,wc_1930,1930,,,,,,team_tournament_6eea4596c0c0
team_950ebd5e5210,Yugoslavia,yugoslavia,wc_1930,1930,,,,,,team_tournament_db12ab9798a8
team_6e5fa4d9c48c,Brazil,brazil,wc_1930,1930,,,,,,team_tournament_934f2d921cda
team_89055f975d7d,Romania,romania,wc_1930,1930,,,,,,team_tournament_3b532211019f
team_32e8419a7ecb,Peru,peru,wc_1930,1930,,,,,,team_tournament_fec1a5271a11
team_2a52adc7b1da,Argentina,argentina,wc_1930,1930,,,,,,team_tournament_1ea5b0f2ab12
team_fd317045cbdc,Chile,chile,wc_1930,1930,,,,,,team_tournament_98e207a30712
team_3bafbfd8bf5e,Paraguay,paraguay,wc_1930,1930,,,,,,team_tournament_8cc0b4ece8b0
team_76781be1c79d,Bolivia,bolivia,wc_1930,1930,,,,,,team_tournament_50ff585ba8da
team_9142ac5b229c,Uruguay,uruguay,wc_1930,1930,,,,,,team_tournament_82b569eb5240
team_28ef36b35ae8,Germany,germany,wc_1934,1934,,,,,,team_tournament_ddc4070c9876
team_73fa01094ea6,Belgium,belgium,wc_1934,1934,,,,,,team_tournament_3a7870596a8f
team_88e52ee42fd0,Sweden,sweden,wc_1934,1934,,,,,,team_tournament_066a5e3f147e
team_2a52adc7b1da,Argentina,argentina,wc_1934,1934,,,,,,team_tournament_3d35350bf67c
team_43c05d43f993,Czechoslovakia,czechoslovakia,wc_1934,1934,,,,,,team_tournament_ee7aada92bbb
team_89055f975d7d,Romania,romania,wc_1934,1934,,,,,,team_tournament_020963fea0c1
team_3b4bbcb74728,Hungary,hungary,wc_1934,1934,,,,,,team_tournament_cc4e676403aa
team_4635c9536a61,Egypt,egypt,wc_1934,1934,,,,,,team_tournament_0e391eca4293
team_0d9c575f4f02,Switzerland,switzerland,wc_1934,1934,,,,,,team_tournament_73bf3bc1e30b
team_6123486432d2,Netherlands,netherlands,wc_1934,1934,,,,,,team_tournament_b77845697d68
team_1747d4b2dd4b,Spain,spain,wc_1934,1934,,,,,,team_tournament_f6a5fe652546
team_6e5fa4d9c48c,Brazil,brazil,wc_1934,1934,,,,,,team_tournament_5ae6b0f9bdcf
team_bab4ac375ada,Italy,italy,wc_1934,1934,,,,,,team_tournament_02c512944a9e
team_152649df347e,United States,united states,wc_1934,1934,,,,,,team_tournament_326c3a7303ea
team_6cd0c266688a,Austria,austria,wc_1934,1934,,,,,,team_tournament_295a394c714d
team_e165d4f2174b,France,france,wc_1934,1934,,,,,,team_tournament_d7e118234479
team_0d9c575f4f02,Switzerland,switzerland,wc_1938,1938,,,,,,team_tournament_12a768de1de6
team_28ef36b35ae8,Germany,germany,wc_1938,1938,,,,,,team_tournament_e571612d4f5d
team_6e5fa4d9c48c,Brazil,brazil,wc_1938,1938,,,,,,team_tournament_09b583db1c44
team_6f08c5ddcdd0,Poland,poland,wc_1938,1938,,,,,,team_tournament_e230e3410a22
team_2b84cd5da64a,Cuba,cuba,wc_1938,1938,,,,,,team_tournament_12d2d1237dd2
team_89055f975d7d,Romania,romania,wc_1938,1938,,,,,,team_tournament_e381a9c44880
team_bab4ac375ada,Italy,italy,wc_1938,1938,,,,,,team_tournament_01cdca4dd53a
team_e6e6854f6b71,Norway,norway,wc_1938,1938,,,,,,team_tournament_612384b82e4a
team_43c05d43f993,Czechoslovakia,czechoslovakia,wc_1938,1938,,,,,,team_tournament_c153da815568
team_6123486432d2,Netherlands,netherlands,wc_1938,1938,,,,,,team_tournament_6c091db763c9
team_3b4bbcb74728,Hungary,hungary,wc_1938,1938,,,,,,team_tournament_bd399c6d4f3d
team_f0fb186afcee,Dutch East Indies,dutch east indies,wc_1938,1938,,,,,,team_tournament_d29a94c1f555
team_e165d4f2174b,France,france,wc_1938,1938,,,,,,team_tournament_54cfa63f07c8
team_73fa01094ea6,Belgium,belgium,wc_1938,1938,,,,,,team_tournament_aeea9cedb47f
team_88e52ee42fd0,Sweden,sweden,wc_1938,1938,,,,,,team_tournament_ce5696c7b5bf
team_6e5fa4d9c48c,Brazil,brazil,wc_1950,1950,,,,,,team_tournament_9c89c455abb8
team_4edfc924721a,Mexico,mexico,wc_1950,1950,,,,,,team_tournament_4020d4fa0b94
team_1747d4b2dd4b,Spain,spain,wc_1950,1950,,,,,,team_tournament_2d409b5d917d
team_152649df347e,United States,united states,wc_1950,1950,,,,,,team_tournament_dba375e1b3f5
team_f48861ca24e2,England,england,wc_1950,1950,,,,,,team_tournament_26e87c1dbe67
team_fd317045cbdc,Chile,chile,wc_1950,1950,,,,,,team_tournament_dce79131fa56
team_88e52ee42fd0,Sweden,sweden,wc_1950,1950,,,,,,team_tournament_3cbf507f2464
team_bab4ac375ada,Italy,italy,wc_1950,1950,,,,,,team_tournament_0f8e8ba6480c
team_950ebd5e5210,Yugoslavia,yugoslavia,wc_1950,1950,,,,,,team_tournament_078cccb365a5
team_0d9c575f4f02,Switzerland,switzerland,wc_1950,1950,,,,,,team_tournament_ad0b6a03b118
team_3bafbfd8bf5e,Paraguay,paraguay,wc_1950,1950,,,,,,team_tournament_dc8d696ed715
team_9142ac5b229c,Uruguay,uruguay,wc_1950,1950,,,,,,team_tournament_0cf7c2a11927
team_76781be1c79d,Bolivia,bolivia,wc_1950,1950,,,,,,team_tournament_b9a7d21c3027
team_6cd0c266688a,Austria,austria,wc_1954,1954,,,,,,team_tournament_afedc0a1d8b0
team_b0ce0b49f97d,Scotland,scotland,wc_1954,1954,,,,,,team_tournament_f802e27d12bf
team_950ebd5e5210,Yugoslavia,yugoslavia,wc_1954,1954,,,,,,team_tournament_5041101563e9
team_e165d4f2174b,France,france,wc_1954,1954,,,,,,team_tournament_33e719bedf42
team_6e5fa4d9c48c,Brazil,brazil,wc_1954,1954,,,,,,team_tournament_b09d054dd304
team_4edfc924721a,Mexico,mexico,wc_1954,1954,,,,,,team_tournament_97b6da577b09
team_9142ac5b229c,Uruguay,uruguay,wc_1954,1954,,,,,,team_tournament_c4395feefc6f
team_43c05d43f993,Czechoslovakia,czechoslovakia,wc_1954,1954,,,,,,team_tournament_a892715fbbb6
team_f48861ca24e2,England,england,wc_1954,1954,,,,,,team_tournament_3934061187c2
team_73fa01094ea6,Belgium,belgium,wc_1954,1954,,,,,,team_tournament_8f3e61a62c72
