team_id,team_name,team_name_normalized
team_49f4fdc64da0,Algeria,algeria
team_e5e0bd43b7f1,Angola,angola
team_2a52adc7b1da,Argentina,argentina
team_fb2a54d63748,Australia,australia
team_6cd0c266688a,Austria,austria
team_73fa01094ea6,Belgium,belgium
team_76781be1c79d,Bolivia,bolivia
team_196fafef3e56,Bosnia and Herzegovina,bosnia and herzegovina
team_6e5fa4d9c48c,Brazil,brazil
team_db5f14430304,Bulgaria,bulgaria
team_9621cbb93d1b,Cameroon,cameroon
team_c2aadac2ca30,Canada,canada
team_fd317045cbdc,Chile,chile
team_8a7d7ba288ca,China PR,china
team_25446782e2cc,Colombia,colombia
team_53bcde0ca059,Costa Rica,costa rica
team_267640588a39,Croatia,croatia
team_2b84cd5da64a,Cuba,cuba
team_98793b57b620,Czech Republic,czechia
team_43c05d43f993,Czechoslovakia,czechoslovakia
team_55dba37b84c9,Côte d'Ivoire,côte divoire
team_e9375700acbb,Denmark,denmark
team_f0fb186afcee,Dutch East Indies,dutch east indies
team_2b4a1835a0aa,Ecuador,ecuador
team_4635c9536a61,Egypt,egypt
team_eedf141a7e7b,El Salvador,el salvador
team_f48861ca24e2,England,england
team_735f8bffbc8b,FR Yugoslavia,fr yugoslavia
team_e165d4f2174b,France,france
team_28ef36b35ae8,Germany,germany
team_00f3af1ef8f9,Germany DR,germany dr
team_0e6049dbb2ce,Ghana,ghana
team_40bdb0601848,Greece,greece
team_87b190830af9,Haiti,haiti
team_1e28fe23fb14,Honduras,honduras
team_3b4bbcb74728,Hungary,hungary
team_83166cdeb7a2,Iceland,iceland
team_6f0a7d56c2cd,IR Iran,iran
team_d3b1cee2327c,Iraq,iraq
team_a66f852274a4,Republic of Ireland,ireland
team_3f8454b7f2c1,Israel,israel
team_bab4ac375ada,Italy,italy
team_770105b98be2,Jamaica,jamaica
team_578ed5a4eecf,Japan,japan
team_a9f3e4aa0834,Korea DPR,korea dpr
team_b18fa0d42ad9,Kuwait,kuwait
team_4edfc924721a,Mexico,mexico
team_217b6e5f0a09,Morocco,morocco
team_6123486432d2,Netherlands,netherlands
team_ea14e587f5a8,New Zealand,new zealand
team_f174114ad69e,Nigeria,nigeria
team_35380523e7c0,Northern Ireland,northern ireland
team_e6e6854f6b71,Norway,norway
team_a0420c052acb,Panama,panama
team_3bafbfd8bf5e,Paraguay,paraguay
team_32e8419a7ecb,Peru,peru
team_6f08c5ddcdd0,Poland,poland
team_ae0eea6eb6d6,Portugal,portugal
team_7d8ca47bbe17,Qatar,qatar
team_89055f975d7d,Romania,romania
team_1c625cc86f82,Russia,russia
team_5318efec44d1,Saudi Arabia,saudi arabia
team_b0ce0b49f97d,Scotland,scotland
team_531ba498ac86,Senegal,senegal
team_a3867434e7dc,Serbia,serbia
team_a7ac62476990,Serbia and Montenegro,serbia and montenegro
team_f64a398fc678,Slovakia,slovakia
team_7f65809a80ea,Slovenia,slovenia
team_c814068bbc92,South Africa,south africa
team_3c6cfbc2415a,Korea Republic,south korea
team_e762c470514b,Soviet Union,soviet union
team_1747d4b2dd4b,Spain,spain
team_88e52ee42fd0,Sweden,sweden
team_0d9c575f4f02,Switzerland,switzerland
team_da6f471bab16,Togo,togo
team_86fb06da27ba,Trinidad and Tobago,trinidad and tobago
team_6b07fd4ea837,Tunisia,tunisia
team_bb3db6b18c5c,Türkiye,türkiye
team_4b0f1559226d,Ukraine,ukraine
team_8882cbb50c41,United Arab Emirates,united arab emirates
team_152649df347e,United States,united states
team_9142ac5b229c,Uruguay,uruguay
team_eea7530d166b,Wales,wales
team_79efb284d3e2,West Germany,west germany
team_950ebd5e5210,Yugoslavia,yugoslavia
team_e3a5090ba681,Zaire,zaire
