tournament_year,match_date,stage,home_team_name,away_team_name,home_team_norm,away_team_norm,home_score,away_score,stadium_name,city,referee_name,attendance,home_manager_name,away_manager_name,tournament_id,match_id,home_team_id,away_team_id,stadium_id,referee_id,home_manager_id,away_manager_id,result,target
1930,1930-07-13,Group stage,France,Mexico,france,mexico,4,1,"Pocitos, Montevideo",Uruguay,Domingo Lombardi,4444,Raoul Caudron,Juan Luque,wc_1930,match_008af429d7d1,team_e165d4f2174b,team_4edfc924721a,stadium_910df19d9a18,referee_38c6c92bf039,manager_4e437e3fee0c,manager_bfd0d93fef9f,home_win,0
1930,1930-07-13,Group stage,United States,Belgium,united states,belgium,3,0,"Parque Central, Montevideo",Uruguay,Jose Macias,18346,Bob Millar,Hector Goetinck,wc_1930,match_1639b517874f,team_152649df347e,team_73fa01094ea6,stadium_7d92fbf7c709,referee_609b04cd8ef3,manager_1d1efef13b70,manager_be7e1c21c043,home_win,0
1930,1930-07-14,Group stage,Yugoslavia,Brazil,yugoslavia,brazil,2,1,"Parque Central, Montevideo",Uruguay,Anibal Tejada,24059,Bosko Simonovic,Pindaro De Carvalho,wc_1930,match_1f0a82595fdf,team_950ebd5e5210,team_6e5fa4d9c48c,stadium_7d92fbf7c709,referee_407514960fba,manager_50a77bcfc752,manager_1126c9d060a4,home_win,0
1930,1930-07-14,Group stage,Romania,Peru,romania,peru,3,1,"Pocitos, Montevideo",Uruguay,Alberto Warnken,2549,Octav Luchide,Francisco Bru,wc_1930,match_aff97a035956,team_89055f975d7d,team_32e8419a7ecb,stadium_910df19d9a18,referee_2e5451280212,manager_58ce448ba651,manager_1b6d188b83fe,home_win,0
1930,1930-07-15,Group stage,Argentina,France,argentina,france,1,0,"Parque Central, Montevideo",Uruguay,Gilberto Rego,23409,Francisco Olazar,Raoul Caudron,wc_1930,match_68cbf3f58928,team_2a52adc7b1da,team_e165d4f2174b,stadium_7d92fbf7c709,referee_7c00f883ccae,manager_8a04d6748b09,manager_4e437e3fee0c,home_win,0
1930,1930-07-16,Group stage,Chile,Mexico,chile,mexico,3,0,"Parque Central, Montevideo",Uruguay,Henry Cristophe,9249,Gyorgy Orth,Juan Luque,wc_1930,match_c0cc8732c053,team_fd317045cbdc,team_4edfc924721a,stadium_7d92fbf7c709,referee_aa23d2ce2761,manager_094069253a20,manager_bfd0d93fef9f,home_win,0
1930,1930-07-17,Group stage,United States,Paraguay,united states,paraguay,3,0,"Parque Central, Montevideo",Uruguay,Jose Macias,18306,Bob Millar,Jose Durand Laguna,wc_1930,match_20c9fa814c9b,team_152649df347e,team_3bafbfd8bf5e,stadium_7d92fbf7c709,referee_609b04cd8ef3,manager_1d1efef13b70,manager_43115aaeef74,home_win,0
1930,1930-07-17,Group stage,Yugoslavia,Bolivia,yugoslavia,bolivia,4,0,"Parque Central, Montevideo",Uruguay,Francisco Mateucci,18306,Bosko Simonovic,Ulises Saucedo,wc_1930,match_c6310448f349,team_950ebd5e5210,team_76781be1c79d,stadium_7d92fbf7c709,referee_42a6d3cb9868,manager_50a77bcfc752,manager_de5b111f4214,home_win,0
1930,1930-07-18,Group stage,Uruguay,Peru,uruguay,peru,1,0,"Estadio Centenario, Montevideo",Uruguay,Jean Langenus,57735,Alberto Suppici,Francisco Bru,wc_1930,match_79b2acba5292,team_9142ac5b229c,team_32e8419a7ecb,stadium_5ae208d035e0,referee_921f43e400a1,manager_ae8efb4ca5cc,manager_1b6d188b83fe,home_win,0
1930,1930-07-19,Group stage,Argentina,Mexico,argentina,mexico,6,3,"Estadio Centenario, Montevideo",Uruguay,Ulises Saucedo,42100,Francisco Olazar,Juan Luque,wc_1930,match_1c3bd87b71d4,team_2a52adc7b1da,team_4edfc924721a,stadium_5ae208d035e0,referee_de5b111f4214,manager_8a04d6748b09,manager_bfd0d93fef9f,home_win,0
