match_id,tournament_year,home_team_name,away_team_name,text_available,embedding_row
match_24ab401684d2,1994,Germany,Bolivia,0,0
match_38ef6f79f047,1994,Spain,Korea Republic,0,1
match_ebe85d2cc918,1994,Colombia,Romania,0,2
match_f0b250615ce7,1994,Italy,Republic of Ireland,0,3
match_fd7cb15508dc,1994,United States,Switzerland,0,4
match_3897d853493d,1994,Norway,Mexico,0,5
match_6377cbad0489,1994,Belgium,Morocco,0,6
match_d2e0539e728e,1994,Cameroon,Sweden,0,7
match_806d967e8ad3,1994,Netherlands,Saudi Arabia,0,8
match_d05bcda4412b,1994,Brazil,Russia,0,9
match_189efb4101cb,1994,Argentina,Greece,0,10
match_2d0cc7e5abec,1994,Germany,Spain,0,11
match_762967b04973,1994,Nigeria,Bulgaria,0,12
match_229dad14b68d,1994,United States,Colombia,0,13
match_86262791d8b0,1994,Romania,Switzerland,0,14
match_da74028c00ef,1994,Italy,Norway,0,15
match_efbf2c71890b,1994,Korea Republic,Bolivia,0,16
match_2d445ad34e7b,1994,Mexico,Republic of Ireland,0,17
match_ad316d029fe3,1994,Brazil,Cameroon,0,18
match_cc7287a21f6d,1994,Sweden,Russia,0,19
match_6b6c67944fa7,1994,Belgium,Netherlands,0,20
match_8358fe82bc85,1994,Argentina,Nigeria,0,21
match_a54129842c0f,1994,Saudi Arabia,Morocco,0,22
match_792bc8fa0a0f,1994,Bulgaria,Greece,0,23
match_e678ab9610ab,1994,United States,Romania,0,24
match_f4305f0ed4bf,1994,Switzerland,Colombia,0,25
match_38bbb15073c3,1994,Germany,Korea Republic,0,26
match_d37160b64734,1994,Bolivia,Spain,0,27
match_4e49076d1d4e,1994,Brazil,Sweden,0,28
match_54236a05204b,1994,Republic of Ireland,Norway,0,29
match_9f20980a8406,1994,Russia,Cameroon,0,30
match_bdb037251e36,1994,Italy,Mexico,0,31
match_4b4ef7718e56,1994,Morocco,Netherlands,0,32
match_9d34823d06eb,1994,Belgium,Saudi Arabia,0,33
match_b6e00a3f05bc,1994,Argentina,Bulgaria,0,34
match_f4238183936b,1994,Greece,Nigeria,0,35
match_5bd553655f0a,1994,Germany,Belgium,0,36
match_d385aaeed328,1994,Spain,Switzerland,0,37
match_164ff7391f35,1994,Romania,Argentina,0,38
match_e103ac2e6184,1994,Saudi Arabia,Sweden,0,39
match_175701a3825e,1994,Netherlands,Republic of Ireland,0,40
match_eb01019f7320,1994,Brazil,United States,0,41
match_42c217b3cc23,1994,Nigeria,Italy,1,42
match_80b1cbbb62c0,1994,Mexico,Bulgaria,0,43
match_3b0d4347abde,1994,Netherlands,Brazil,0,44
match_e230ad7cdd34,1994,Italy,Spain,0,45
match_3b10b540c6b5,1994,Bulgaria,Germany,0,46
match_3d563150e0f4,1994,Romania,Sweden,0,47
match_4890e4e757d6,1994,Sweden,Brazil,0,48
match_bdd6c99f8b32,1994,Bulgaria,Italy,0,49
match_550a9cb22d7c,1994,Sweden,Bulgaria,0,50
match_01a014e4b89e,1994,Brazil,Italy,0,51
match_2cdd72b027ee,1998,Brazil,Scotland,0,52
match_62a390b2e2d7,1998,Morocco,Norway,0,53
match_36fb91d63eee,1998,Cameroon,Austria,0,54
match_4f1ef457c8a9,1998,Italy,Chile,0,55
match_04bc47ec20a4,1998,Saudi Arabia,Denmark,0,56
match_a738a6939755,1998,Paraguay,Bulgaria,0,57
match_adcf7f6165d9,1998,France,South Africa,0,58
match_0aea764770d8,1998,Spain,Nigeria,0,59
match_29583b2aa4b7,1998,Netherlands,Belgium,0,60
match_723a55966ce2,1998,Korea Republic,Mexico,0,61
match_10f7162f7217,1998,Argentina,Japan,0,62
match_168ef1755264,1998,Jamaica,Croatia,0,63
match_cd8a2c34b6c3,1998,FR Yugoslavia,IR Iran,0,64
match_74212e4ef097,1998,England,Tunisia,0,65
match_8617b9547284,1998,Germany,United States,0,66
match_dc2e241416a9,1998,Romania,Colombia,0,67
match_0d0c1a1e0015,1998,Brazil,Morocco,0,68
match_e0f70299e203,1998,Scotland,Norway,0,69
match_945cf8280e4d,1998,Chile,Austria,0,70
match_f6f03be7625a,1998,Italy,Cameroon,0,71
match_43701fb1c5e7,1998,France,Saudi Arabia,0,72
match_b41b7a3ff191,1998,South Africa,Denmark,0,73
match_57bb9d06a98a,1998,Spain,Paraguay,0,74
match_b3c65c8078ab,1998,Nigeria,Bulgaria,0,75
match_49e095b8737d,1998,Netherlands,Korea Republic,0,76
match_51f3882816a2,1998,Japan,Croatia,0,77
match_9d51213f33c7,1998,Belgium,Mexico,0,78
match_70ee58dea2bd,1998,United States,IR Iran,0,79
match_ac6ea9234af9,1998,Germany,FR Yugoslavia,0,80
match_fe2c04550cb1,1998,Argentina,Jamaica,0,81
match_0d6561bb04c1,1998,Colombia,Tunisia,0,82
match_370a439a80ea,1998,Romania,England,0,83
match_152435c399ba,1998,Brazil,Norway,0,84
match_61e5ead6dc00,1998,Italy,Austria,0,85
match_b6912701c80d,1998,Scotland,Morocco,0,86
match_e8b2c17e89a7,1998,Chile,Cameroon,0,87
match_733946f7c4e0,1998,France,Denmark,0,88
match_b2ffdbe0572c,1998,South Africa,Saudi Arabia,0,89
match_c5e0aa11786f,1998,Nigeria,Paraguay,0,90
match_e858f52a390b,1998,Spain,Bulgaria,0,91
match_831e637ec8d0,1998,Germany,IR Iran,0,92
match_bc4c1777aa7f,1998,United States,FR Yugoslavia,0,93
match_dea795876977,1998,Belgium,Korea Republic,0,94
match_edfaddeaade5,1998,Netherlands,Mexico,0,95
match_4ece18695b90,1998,Japan,Jamaica,0,96
match_82acde461ac1,1998,Romania,Tunisia,0,97
match_b551e53118dd,1998,Argentina,Croatia,0,98
match_e15c24fcce5e,1998,Colombia,England,0,99
match_2273d837665f,1998,Italy,Norway,0,100
match_fd56593e22cc,1998,Brazil,Chile,0,101
match_7bbbf6fbe55a,1998,Nigeria,Denmark,0,102
match_9178161957da,1998,France,Paraguay,0,103
match_4e6ab5b648f2,1998,Netherlands,FR Yugoslavia,0,104
match_f364b861f53a,1998,Germany,Mexico,0,105
match_6d5e0397b3fc,1998,Romania,Croatia,0,106
match_a3f0db8f2f2e,1998,Argentina,England,0,107
match_920ea64b49ef,1998,Brazil,Denmark,1,108
match_da909e436d3d,1998,Italy,France,0,109
match_39eb53cc7ad3,1998,Germany,Croatia,0,110
match_aacbbf5bffdc,1998,Netherlands,Argentina,0,111
match_5af1b6090116,1998,Brazil,Netherlands,0,112
match_e60a6afef951,1998,France,Croatia,0,113
match_4d5c2ac4360f,1998,Netherlands,Croatia,0,114
match_5049ae65bc28,1998,Brazil,France,0,115
match_8948f5133e4b,2002,France,Senegal,1,116
match_0db415e98f71,2002,Republic of Ireland,Cameroon,1,117
match_2a8ee4d1f85a,2002,Germany,Saudi Arabia,1,118
match_f31005e39ada,2002,Uruguay,Denmark,1,119
match_4723e3026faa,2002,Paraguay,South Africa,1,120
match_607d5e485f7e,2002,Argentina,Nigeria,1,121
match_81123ac7cc4b,2002,England,Sweden,1,122
match_d9a37f3ca934,2002,Spain,Slovenia,1,123
match_255b7f757d06,2002,Brazil,Türkiye,1,124
match_cce69d805e70,2002,Croatia,Mexico,1,125
match_ec61b6c7f764,2002,Italy,Ecuador,1,126
match_0bf959084ecc,2002,Korea Republic,Poland,1,127
match_340c61d114a1,2002,Japan,Belgium,1,128
match_a0d494814181,2002,China PR,Costa Rica,1,129
match_3c3e99a269a7,2002,Germany,Republic of Ireland,1,130
match_8d642918dbc1,2002,Russia,Tunisia,1,131
match_aa307d57e524,2002,United States,Portugal,1,132
match_0a095c468341,2002,Denmark,Senegal,1,133
match_23fd0e49f9e2,2002,Cameroon,Saudi Arabia,1,134
match_669c128e4a50,2002,France,Uruguay,0,135
match_07078c9899b2,2002,Sweden,Nigeria,1,136
match_7d7b0f8a755c,2002,Spain,Paraguay,1,137
match_a130ee6c2013,2002,Argentina,England,0,138
match_0cef2502a396,2002,Brazil,China PR,0,139
match_781473efcf16,2002,Italy,Croatia,1,140
match_931d0218811c,2002,South Africa,Slovenia,1,141
match_13f35b83c3c9,2002,Mexico,Ecuador,1,142
match_4c90442ab713,2002,Costa Rica,Türkiye,1,143
match_d7648dcecd35,2002,Japan,Russia,1,144
match_08f58c6fc11f,2002,Portugal,Poland,1,145
match_6e5289d2f41f,2002,Tunisia,Belgium,1,146
match_7cc380e864c6,2002,Korea Republic,United States,1,147
match_b4ac276130b3,2002,Cameroon,Germany,1,148
match_d088ca54f510,2002,Senegal,Uruguay,1,149
match_e7e4f657dcaf,2002,Saudi Arabia,Republic of Ireland,1,150
match_f7b2556ecc89,2002,Denmark,France,1,151
match_5766caa91659,2002,Nigeria,England,1,152
match_82bece52e71b,2002,Slovenia,Paraguay,1,153
match_886739ba8bf2,2002,South Africa,Spain,1,154
match_cb7415f79d14,2002,Sweden,Argentina,1,155
match_61f0ace8ff03,2002,Ecuador,Croatia,1,156
match_8ecce82c8eda,2002,Costa Rica,Brazil,1,157
match_b0cdbad2c6c9,2002,Türkiye,China PR,0,158
match_be8572f6590b,2002,Mexico,Italy,1,159
match_01251b086132,2002,Portugal,Korea Republic,0,160
match_67324df48fec,2002,Belgium,Russia,1,161
match_8617b73ee2cd,2002,Tunisia,Japan,1,162
match_eb85ef12a53f,2002,Poland,United States,1,163
match_595672cad1b4,2002,Denmark,England,1,164
match_61049cb3f9ee,2002,Germany,Paraguay,1,165
match_0ecac6b8d200,2002,Spain,Republic of Ireland,1,166
match_8f81cf223f3d,2002,Sweden,Senegal,1,167
match_29a2e4136c35,2002,Mexico,United States,1,168
match_df2fb25ad4d4,2002,Brazil,Belgium,1,169
match_574344bb2774,2002,Korea Republic,Italy,0,170
match_6d87f8f037d5,2002,Japan,Türkiye,1,171
match_749f59bc5761,2002,England,Brazil,1,172
match_8807d0df4379,2002,Germany,United States,1,173
match_9d1da697a735,2002,Senegal,Türkiye,1,174
match_c6299efffdc0,2002,Spain,Korea Republic,1,175
match_8b6358ac259c,2002,Germany,Korea Republic,1,176
match_614c8e1c75b8,2002,Brazil,Türkiye,1,177
match_1a9c646d5db1,2002,Korea Republic,Türkiye,0,178
match_932b71124d7d,2002,Germany,Brazil,1,179
match_d75b0bb2f95f,2006,Poland,Ecuador,1,180
match_fe9c28bc18ee,2006,Germany,Costa Rica,1,181
match_6c8cbc651fdf,2006,Trinidad and Tobago,Sweden,1,182
match_b243e950ab4b,2006,England,Paraguay,1,183
match_cc0c51ba5289,2006,Argentina,Côte d'Ivoire,1,184
match_33fd6e2db93f,2006,Serbia and Montenegro,Netherlands,1,185
match_63e9d3fabc82,2006,Angola,Portugal,1,186
match_cc88a33d38d6,2006,Mexico,IR Iran,1,187
match_a8c6c8a927d0,2006,United States,Czech Republic,1,188
match_d465baf8eb74,2006,Australia,Japan,0,189
match_e73bd5e6e2d4,2006,Italy,Ghana,1,190
match_0d52a080bdb5,2006,France,Switzerland,1,191
